record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.DB.B03,2.1.Kamu (Borçluya Göre),TP.DB.B03,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B03 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B03,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B09,2.1.2.1.Bankalar,TP.DB.B09,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B09 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B09,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B11,2.1.3.Finansal Olmayan Kuruluşlar (Borçluya Göre),TP.DB.B11,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B11,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B14,2.2.TCMB (Borçluya Göre),TP.DB.B14,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B14 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B14,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B17,2.3.1.1.Bankalar (Borçluya Göre),TP.DB.B17,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B17 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B17,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B19,2.3.2.Finansal Olmayan Kuruluşlar(Borçluya Göre),TP.DB.B19,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B19 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B19,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B20,3.Uzun Vadelİ Borçlar (Borçluya Göre),TP.DB.B20,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B20 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B20,Inferred notebook role: stock_total,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B21,3.1.Kamu (Borçluya Göre),TP.DB.B21,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B21,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B27,3.1.2.1.Bankalar,TP.DB.B27,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B27 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B27,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B29,3.1.3.Finansal Olmayan Kuruluşlar (Borçluya Göre),TP.DB.B29,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B29 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B29,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B32,3.2.TCMB (Borçluya Göre),TP.DB.B32,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B32 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B32,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B35,3.3.1.1.Bankalar (Borçluya Göre),TP.DB.B35,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B35 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DB.B35,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B37,3.3.2.Finansal Olmayan Kuruluşlar (Borçluya Göre),TP.DB.B37,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B37 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.DB.B37,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DIBSPIYDEG.ST,"1.Toplam (S.1, S.2)",TP.DIBSPIYDEG.ST,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.ST | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.ST,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DK.USD.A.YTL,(USD)  ABD  Doları  (Döviz  Alış),TP.DK.USD.A.YTL,evds2,daily,Türk lirası,Semantic proposal for evds:TP.DK.USD.A.YTL | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DK.USD.A.YTL,Inferred notebook role: ratio_input,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.EBONDPIYDEG.ST,"1.Toplam (S.1, S.2)",TP.EBONDPIYDEG.ST,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDPIYDEG.ST | Confidence: 0.9 | Catalog source: catalog:evds2:TP.EBONDPIYDEG.ST,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.FDVY37,C.Net Döviz Pozisyonu,TP.FDVY37,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.FDVY37 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.FDVY37,Inferred notebook role: ratio_input,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.KALANVADE.K13,4.1.Ticari Krediler,TP.KALANVADE.K13,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.KALANVADE.K13 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.KALANVADE.K13,Inferred notebook role: term_split_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.KALANVADE.K20,5.Toplam,TP.KALANVADE.K20,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.KALANVADE.K20 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.KALANVADE.K20,Inferred notebook role: term_split_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.KALANVADE.K3,1.2.Mevduat,TP.KALANVADE.K3,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.KALANVADE.K3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.KALANVADE.K3,Inferred notebook role: term_split_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.KALANVADE.K7,3.2.Döviz Tevdiat Hesabı,TP.KALANVADE.K7,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.KALANVADE.K7 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.KALANVADE.K7,Inferred notebook role: term_split_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.KALANVADE.K8,3.3.Banka Mevduatı,TP.KALANVADE.K8,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.KALANVADE.K8 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.KALANVADE.K8,Inferred notebook role: term_split_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.MKNETHAR.M1,1.1.1. Hisse Senedi,TP.MKNETHAR.M1,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M1 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M1,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.MKNETHAR.M2,1.1.2. DİBS (Kesin Alım),TP.MKNETHAR.M2,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M2 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M2,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.MKNETHAR.M3,3.1. DİBS (Ters Repo),TP.MKNETHAR.M3,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M3,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.MKNETHAR.M4,3.2. DİBS (Teminat Alım),TP.MKNETHAR.M4,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M4 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M4,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.MKNETHAR.M5,3.3. DİBS (Ödünç Alım),TP.MKNETHAR.M5,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M5,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.ODANA6.Q01,1.Cari İşlemler Hesabı,TP.ODANA6.Q01,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.ODANA6.Q01 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.ODANA6.Q01,Inferred notebook role: commentary_driver,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.YDOSBAYAZDEG.S11T,"1.A.Toplam (S.1, S.2) (Finansal Olmayan Kuruluş İhraçları)",TP.YDOSBAYAZDEG.S11T,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S11T | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S11T,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.YDOSBAYAZDEG.S122T,"1.B.Toplam (S.1, S.2) (Banka İhraçları)",TP.YDOSBAYAZDEG.S122T,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAYAZDEG.S122T | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAYAZDEG.S122T,Inferred notebook role: stock_component,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
