record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.HPBITABLO5.11,1.2.4.Kıymetli Maden Depo Hesapları,TP.HPBITABLO5.11,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.11,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.12,2.Parite Etkisi (Yurt İçi Yerleşikler),TP.HPBITABLO5.12,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.12,Inferred notebook role: parity_effect_input,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.13,2.1.Gerçek Kişiler,TP.HPBITABLO5.13,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.13 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.13,Inferred notebook role: owner_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.14,2.1.1.ABD Doları Cinsi Mevduat,TP.HPBITABLO5.14,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.14 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.14,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.15,2.1.2.Euro Cinsi Mevduat,TP.HPBITABLO5.15,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.15 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.15,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.16,2.1.3.Diğer Para Cinsi Mevduat,TP.HPBITABLO5.16,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.16 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.16,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.17,2.1.4.Kıymetli Maden Depo Hesapları,TP.HPBITABLO5.17,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.17 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.17,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.18,2.2.Tüzel Kişiler,TP.HPBITABLO5.18,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.18 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.18,Inferred notebook role: owner_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.19,2.2.1.ABD Doları Cinsi Mevduat,TP.HPBITABLO5.19,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.19 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.19,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.20,2.2.2.Euro Cinsi Mevduat,TP.HPBITABLO5.20,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.20 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.20,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.21,2.2.3.Diğer Para Cinsi Mevduat,TP.HPBITABLO5.21,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.21,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.22,2.2.4.Kıymetli Maden Depo Hesapları,TP.HPBITABLO5.22,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.22 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.22,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A01,A.AKTİF,TP.AB.A01,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A01 | Confidence: 0.85 | Catalog source: catalog:evds2:TP.AB.A01,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A02,A.1 DIŞ VARLIKLAR,TP.AB.A02,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A02 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A02,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A03,A.2 İÇ VARLIKLAR,TP.AB.A03,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A03 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A03,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A08,A.3 DEĞERLEME HESABI,TP.AB.A08,evds2,i̇ş günü,BİN TL,Semantic proposal for evds:TP.AB.A08 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A08,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A09,P.PASİF,TP.AB.A09,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A09 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A09,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A11,P.1a Dış Yükümlülükler,TP.AB.A11,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A11 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A11,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A12,P.1b İç Yükümlülükler,TP.AB.A12,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A12 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A12,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A15,P.2 MERKEZ BANKASI PARASI,TP.AB.A15,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A15 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A15,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A16,P.2A Rezerv Para,TP.AB.A16,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A16 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A16,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A17,P.2Aa Emisyon,TP.AB.A17,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A17 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A17,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A18,P.2Ab Bankalar Mevduatı,TP.AB.A18,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A18 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A18,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.A23,P.2B Diğer Merkez Bankası Parası,TP.AB.A23,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A23 | Confidence: 0.8 | Catalog source: catalog:evds2:TP.AB.A23,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.C1,Altın (Milyon ABD Doları),TP.AB.C1,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.AB.C1 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.AB.C1,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.C2,Döviz (Milyon ABD Doları),TP.AB.C2,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.AB.C2 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.AB.C2,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.AB.TOPLAM,Toplam (Milyon ABD Doları),TP.AB.TOPLAM,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.AB.TOPLAM | Confidence: 0.9 | Catalog source: catalog:evds2:TP.AB.TOPLAM,Inferred notebook role: balance_sheet_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.DIBSPIYDEG.ST,"1.Toplam (S.1, S.2)",TP.DIBSPIYDEG.ST,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.ST | Confidence: 0.95 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.ST,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.DK.USD.A.YTL,(USD)  ABD  Doları  (Döviz  Alış),TP.DK.USD.A.YTL,evds2,daily,Türk lirası,Semantic proposal for evds:TP.DK.USD.A.YTL | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DK.USD.A.YTL,Inferred notebook role: ratio_input,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M1,1.1.1. Hisse Senedi,TP.MKNETHAR.M1,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M1 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.MKNETHAR.M1,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M10,4.2. DİBS (Teminat Alım),TP.MKNETHAR.M10,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M10 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M10,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M11,4.3. DİBS (Ödünç Alım),TP.MKNETHAR.M11,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M11,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M12,2.1.3. Genel Yönetim Dışındaki Sektörlerce İhraç Edilen Borçlanma Senetleri,TP.MKNETHAR.M12,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M12,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M2,1.1.2. DİBS (Kesin Alım),TP.MKNETHAR.M2,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M2 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M2,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M20,2. Net Değişim Genel Toplam,TP.MKNETHAR.M20,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M20 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.MKNETHAR.M20,Inferred notebook role: stock_total,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M21,2.1. Yurt İçi Piyasa Toplam,TP.MKNETHAR.M21,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M21 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.MKNETHAR.M21,Inferred notebook role: stock_total,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M22,2.2. Yurt Dışı Piyasa Toplam,TP.MKNETHAR.M22,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M22 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M22,Inferred notebook role: stock_total,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M23,2.2.1. Genel Yönetim İhraçları,TP.MKNETHAR.M23,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M23 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M23,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M24,2.2.2. Finansal Olmayan Kuruluş İhraçları,TP.MKNETHAR.M24,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M24 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M24,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M25,2.2.3. Banka İhraçları,TP.MKNETHAR.M25,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M25 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M25,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M26,2.2.4. Diğer Finansal Kuruluş İhraçları,TP.MKNETHAR.M26,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M26 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M26,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M3,3.1. DİBS (Ters Repo),TP.MKNETHAR.M3,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M3,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M4,3.2. DİBS (Teminat Alım),TP.MKNETHAR.M4,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M4 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M4,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M5,3.3. DİBS (Ödünç Alım),TP.MKNETHAR.M5,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M5,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M7,2.1.1. Hisse Senedi,TP.MKNETHAR.M7,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M7 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M7,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M8,2.1.2. DİBS (Kesin Alım),TP.MKNETHAR.M8,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M8 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M8,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.MKNETHAR.M9,4.1. DİBS (Ters Repo),TP.MKNETHAR.M9,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.MKNETHAR.M9 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.MKNETHAR.M9,Inferred notebook role: stock_component,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
