record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.HPBITABLO2.14,1.2.1.TL,TP.HPBITABLO2.14,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.14 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.14,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.15,1.2.2.YP,TP.HPBITABLO2.15,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.15 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.15,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.23,2.1.Yurt İçi Yerleşikler,TP.HPBITABLO2.23,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.23 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.23,Inferred notebook role: owner_split_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.24,2.1.1.TL,TP.HPBITABLO2.24,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.24 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.24,Inferred notebook role: currency_split_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.25,2.1.1.a.Tüketici Kredileri (Bireysel Kredi Kartları Dahil),TP.HPBITABLO2.25,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.25 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.25 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi. Catalog metadata applied from catalog:evds2:TP.HPBITABLO2.25.,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.26,2.1.1.b.Ticari Krediler (Kurumsal Kredi Kartları Dahil),TP.HPBITABLO2.26,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.26 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.26 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi. Catalog metadata applied from catalog:evds2:TP.HPBITABLO2.26.,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.27,2.1.1.c.Diğer Krediler,TP.HPBITABLO2.27,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.27 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.27 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi. Catalog metadata applied from catalog:evds2:TP.HPBITABLO2.27.,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.28,2.1.2.YP,TP.HPBITABLO2.28,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.28 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.28,Inferred notebook role: currency_split_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.29,2.1.2.a.Tüketici Kredileri (Bireysel Kredi Kartları Dahil),TP.HPBITABLO2.29,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.29 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.29 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi. Catalog metadata applied from catalog:evds2:TP.HPBITABLO2.29.,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.30,2.1.2.b.Ticari Krediler (Kurumsal Kredi Kartları Dahil),TP.HPBITABLO2.30,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.30 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.30 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi. Catalog metadata applied from catalog:evds2:TP.HPBITABLO2.30.,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.31,2.1.2.c.Diğer Krediler,TP.HPBITABLO2.31,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.31 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.31 | Notebook icindeki kayitli EVDS seri adinda gorunmedigi icin unresolved_from_notebook olarak isaretlendi. Catalog metadata applied from catalog:evds2:TP.HPBITABLO2.31.,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.32,2.2.Yurt İçi Yerleşik Finansal Kuruluşlar,TP.HPBITABLO2.32,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.32 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.32,Inferred notebook role: owner_split_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.33,2.2.1.TL,TP.HPBITABLO2.33,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.33 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.33,Inferred notebook role: currency_split_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.34,2.2.2.YP,TP.HPBITABLO2.34,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.34 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.34,Inferred notebook role: currency_split_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.DIBSPIYDEG.S11,1.1.1.Finansal Olmayan Kuruluşlar (S.11),TP.DIBSPIYDEG.S11,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.S11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.S11,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.DIBSPIYDEG.S12,1.1.2.Finansal Kuruluşlar (S.12),TP.DIBSPIYDEG.S12,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.S12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.S12,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.DIBSPIYDEG.S122,1.1.2.2.Bankalar (S.122),TP.DIBSPIYDEG.S122,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.S122 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.S122,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.DIBSPIYDEG.S13,1.1.3.Genel Yönetim (S.13),TP.DIBSPIYDEG.S13,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.S13 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.S13,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.DIBSPIYDEG.S14,1.1.4.Hanehalkı (S.14),TP.DIBSPIYDEG.S14,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.S14 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.S14,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.DIBSPIYDEG.S15,1.1.5.Hanehalkına Hizmet Veren Kar Amacı Olmayan Kuruluşlar (S.15),TP.DIBSPIYDEG.S15,evds2,weekly,milyon TL,Semantic proposal for evds:TP.DIBSPIYDEG.S15 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DIBSPIYDEG.S15,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.DK.USD.A.YTL,(USD)  ABD  Doları  (Döviz  Alış),TP.DK.USD.A.YTL,evds2,daily,Türk lirası,Semantic proposal for evds:TP.DK.USD.A.YTL | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DK.USD.A.YTL,Inferred notebook role: ratio_input,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.EBONDPIYDEG.S11,1.1.1.Finansal Olmayan Kuruluşlar (S.11),TP.EBONDPIYDEG.S11,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDPIYDEG.S11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.EBONDPIYDEG.S11,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.EBONDPIYDEG.S12,1.1.2.Finansal Kuruluşlar (S.12),TP.EBONDPIYDEG.S12,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDPIYDEG.S12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.EBONDPIYDEG.S12,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.EBONDPIYDEG.S122,1.1.2.2.Bankalar (S.122),TP.EBONDPIYDEG.S122,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDPIYDEG.S122 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.EBONDPIYDEG.S122,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.EBONDPIYDEG.S13,1.1.3.Genel Yönetim (S.13),TP.EBONDPIYDEG.S13,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDPIYDEG.S13 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.EBONDPIYDEG.S13,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.EBONDPIYDEG.S14,1.1.4.Hanehalkı (S.14),TP.EBONDPIYDEG.S14,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDPIYDEG.S14 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.EBONDPIYDEG.S14 | Notebookta USD/TL ile carpilarak 'Eurobond (Gercek Kisi)' TL karsiligina cevriliyor.,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.EBONDPIYDEG.S15,1.1.5.Hanehalkına Hizmet Veren Kar Amacı Olmayan Kuruluşlar (S.15),TP.EBONDPIYDEG.S15,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.EBONDPIYDEG.S15 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.EBONDPIYDEG.S15,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S11,1.A.1.3.Genel Yönetim (S.13) (Finansal Olmayan Kuruluş İhraçları),TP.YDOSBAPIYDEG.S11,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S11,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S15,1.A.1.4.Hanehalkı (S.14) (Finansal Olmayan Kuruluş İhraçları),TP.YDOSBAPIYDEG.S15,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S15 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S15 | Notebookta diger hanehalki alt kirilimlariyla birlikte USD/TL ile carpilarak 'Ozel Sektor Eurobond (Gercek Kisi)' hesabinda kullaniliyor.,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S16,1.A.1.5.Hanehalkına Hizmet Veren Kar Amacı Olmayan Kuruluşlar (S.15) (Finansal Olmayan Kuruluş İhraçları),TP.YDOSBAPIYDEG.S16,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S16 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S16,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S2,1.A.1.1.Finansal Olmayan Kuruluşlar (S.11) (Finansal Olmayan Kuruluş İhraçları),TP.YDOSBAPIYDEG.S2,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S2 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S2,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S21,1.B.1.1.Finansal Olmayan Kuruluşlar (S.11) (Banka İhraçları),TP.YDOSBAPIYDEG.S21,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S21,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S22,1.B.1.2.Finansal Kuruluşlar (S.12) (Banka İhraçları),TP.YDOSBAPIYDEG.S22,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S22 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S22,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S24,1.B.1.2.2.Bankalar (S.122) (Banka İhraçları),TP.YDOSBAPIYDEG.S24,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S24 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S24,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S3,1.A.1.2.Finansal Kuruluşlar (S.12) (Finansal Olmayan Kuruluş İhraçları),TP.YDOSBAPIYDEG.S3,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S3,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S30,1.B.1.3.Genel Yönetim (S.13) (Banka İhraçları),TP.YDOSBAPIYDEG.S30,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S30 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S30,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S34,1.B.1.4.Hanehalkı (S.14) (Banka İhraçları),TP.YDOSBAPIYDEG.S34,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S34 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S34 | Notebookta diger hanehalki alt kirilimlariyla birlikte USD/TL ile carpilarak 'Ozel Sektor Eurobond (Gercek Kisi)' hesabinda kullaniliyor.,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S40,1.C.1.1.Finansal Olmayan Kuruluşlar (S.11) (Diğer Finansal Aracı İhraçları),TP.YDOSBAPIYDEG.S40,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S40 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S40,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S41,1.C.1.2.Finansal Kuruluşlar (S.12) (Diğer Finansal Aracı İhraçları),TP.YDOSBAPIYDEG.S41,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S41 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S41,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S43,1.C.1.2.2.Bankalar (S.122) (Diğer Finansal Aracı İhraçları),TP.YDOSBAPIYDEG.S43,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S43 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S43,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S49,1.C.1.3.Genel Yönetim (S.13) (Diğer Finansal Aracı İhraçları),TP.YDOSBAPIYDEG.S49,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S49 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S49,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S5,1.A.1.2.2.Bankalar (S.122) (Finansal Olmayan Kuruluş İhraçları),TP.YDOSBAPIYDEG.S5,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S5,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S53,1.C.1.4.Hanehalkı (S.14) (Diğer Finansal Aracı İhraçları),TP.YDOSBAPIYDEG.S53,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S53 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S53 | Notebookta diger hanehalki alt kirilimlariyla birlikte USD/TL ile carpilarak 'Ozel Sektor Eurobond (Gercek Kisi)' hesabinda kullaniliyor.,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S54,1.C.1.5.Hanehalkına Hizmet Veren Kar Amacı Olmayan Kuruluşlar (S.15) (Diğer Finansal Aracı İhraçları),TP.YDOSBAPIYDEG.S54,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S54 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S54,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S59,1.D.1.1.Finansal Olmayan Kuruluşlar (S.11) (Finansal Yardımcı İhraçları),TP.YDOSBAPIYDEG.S59,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S59 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S59,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S60,1.D.1.2.Finansal Kuruluşlar (S.12) (Finansal Yardımcı İhraçları),TP.YDOSBAPIYDEG.S60,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S60 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S60,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S62,1.D.1.2.2.Bankalar (S.122) (Finansal Yardımcı İhraçları),TP.YDOSBAPIYDEG.S62,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S62 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S62,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S68,1.D.1.3.Genel Yönetim (S.13) (Finansal Yardımcı İhraçları),TP.YDOSBAPIYDEG.S68,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S68 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S68,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S72,1.D.1.4.Hanehalkı (S.14) (Finansal Yardımcı İhraçları),TP.YDOSBAPIYDEG.S72,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S72 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S72 | Notebookta diger hanehalki alt kirilimlariyla birlikte USD/TL ile carpilarak 'Ozel Sektor Eurobond (Gercek Kisi)' hesabinda kullaniliyor.,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YDOSBAPIYDEG.S74,1.D.2.Dünyanın Geri Kalanı (S.2) (Finansal Yardımcı İhraçları),TP.YDOSBAPIYDEG.S74,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.YDOSBAPIYDEG.S74 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YDOSBAPIYDEG.S74,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S11,1.A.1.3.Genel Yönetim (S.13) (Finansal Olmayan Kuruluş İhraçları),TP.YIOSBAPIYDEG.S11,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S11 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S11,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S15,1.A.1.4.Hanehalkı (S.14) (Finansal Olmayan Kuruluş İhraçları),TP.YIOSBAPIYDEG.S15,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S15 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S15,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S16,1.A.1.5.Hanehalkına Hizmet Veren Kar Amacı Olmayan Kuruluşlar (S.15) (Finansal Olmayan Kuruluş İhraçları),TP.YIOSBAPIYDEG.S16,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S16 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S16,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.YIOSBAPIYDEG.S2,1.A.1.1.Finansal Olmayan Kuruluşlar (S.11) (Finansal Olmayan Kuruluş İhraçları),TP.YIOSBAPIYDEG.S2,evds2,weekly,milyon TL,Semantic proposal for evds:TP.YIOSBAPIYDEG.S2 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.YIOSBAPIYDEG.S2,Inferred notebook role: stock_component,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
